,row_id,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,correct_answer,part,tags,tag,type_of
0,0,0,115,5692,0,1,3,1,0.0,False,3.0,5,151,,
1,1,56943,115,5716,0,2,2,1,37000.0,False,2.0,5,168,,
2,2,118363,115,128,0,0,0,1,55000.0,False,0.0,1,131 149 92,,
3,3,131167,115,7860,0,3,0,1,19000.0,False,0.0,1,131 104 81,,
4,4,137965,115,7922,0,4,1,1,11000.0,False,1.0,1,131 149 92,,
5,5,157063,115,156,0,5,2,1,5000.0,False,2.0,1,131 101 162 38,,
6,6,176092,115,51,0,6,0,1,17000.0,False,0.0,1,131 187 81,,
7,7,194190,115,50,0,7,3,1,17000.0,False,3.0,1,131 101 38,,
8,8,212463,115,7896,0,8,2,1,16000.0,False,2.0,1,131 104 162 81,,
9,9,230983,115,7863,0,9,0,1,16000.0,False,0.0,1,131 68 92,,
10,10,255381,115,152,0,10,2,0,17000.0,False,1.0,1,131 5 162 81,,
11,11,280033,115,104,0,11,1,0,22000.0,False,2.0,1,131 93 162 81,,
12,12,302994,115,108,0,12,1,0,23000.0,False,3.0,1,131 104 92,,
13,13,328686,115,7900,0,13,0,1,21000.0,False,0.0,1,131 93 81,,
14,14,352686,115,7901,0,14,1,1,24000.0,False,1.0,1,131 130 92,,
15,15,376162,115,7971,0,15,2,1,22000.0,False,2.0,1,131 93 92,,
16,16,398020,115,25,0,16,1,1,21000.0,False,1.0,1,9 10 81,,
17,17,418008,115,183,0,17,0,0,20000.0,False,1.0,1,61 110 162 29,,
18,18,437272,115,7926,0,18,1,1,18000.0,False,1.0,1,9 10 92,,
19,19,468511,115,7927,0,19,3,1,17000.0,False,3.0,1,10 178 29,,
20,20,490100,115,4,0,20,1,0,29000.0,False,3.0,1,131 5 162 38,,
21,21,510583,115,7984,0,21,3,0,20000.0,False,0.0,1,131 104 81,,
22,22,534187,115,45,0,22,2,0,19000.0,False,1.0,1,10 164 162 81,,
23,23,557677,115,185,0,23,3,0,21000.0,False,0.0,1,131 111 81,,
24,24,575289,115,55,0,24,3,1,22000.0,False,3.0,1,131 36 162 81,,
25,25,597863,115,7876,0,25,3,1,16000.0,False,3.0,1,10 94 92,,
26,26,621464,115,6,0,26,2,1,20000.0,False,2.0,1,10 94 162 92,,
27,27,645415,115,172,0,27,1,1,22000.0,False,1.0,1,10 164 81,,
28,28,670520,115,7898,0,28,2,1,22000.0,False,2.0,1,131 99 29,,
29,29,692971,115,175,0,29,0,0,23000.0,False,2.0,1,9 10 92,,
30,30,710402,115,100,0,30,0,1,20000.0,False,0.0,1,131 5 81,,
31,31,732421,115,7859,0,31,3,0,15000.0,False,1.0,1,131 5 92,,
32,32,1219624,115,57,0,32,0,1,20000.0,False,0.0,1,131 93 162 29,,
33,33,1252621,115,7948,0,33,0,1,20000.0,True,0.0,1,131 187 29,,
34,34,1284094,115,151,0,34,3,1,22000.0,True,3.0,1,131 93 162 92,,
35,35,1320874,115,167,0,35,2,1,19000.0,True,2.0,1,131 130 162 38,,
36,36,1359412,115,7897,0,36,3,0,17000.0,True,0.0,1,61 110 162 92,,
37,37,1415188,115,7882,0,37,2,1,20000.0,True,2.0,1,51 131 102,,
38,38,1468285,115,7962,0,38,3,1,17000.0,True,3.0,1,51 131 92,,
39,39,667861680,115,1278,0,39,3,1,21000.0,False,3.0,2,143 140 81 29,,
40,40,667971812,115,2065,0,40,2,1,17000.0,False,2.0,3,136 162 92 29,,
41,41,667971812,115,2064,0,40,1,1,17000.0,False,1.0,3,157 92 29,,
42,42,667971812,115,2063,0,40,3,0,17000.0,False,0.0,3,136 92 29,,
43,43,668090043,115,3363,0,41,1,0,14333.0,False,3.0,4,74 103 29,,
44,44,668090043,115,3365,0,41,0,0,14333.0,False,2.0,4,136 103 29,,
45,45,668090043,115,3364,0,41,1,1,14333.0,False,1.0,4,136 103 29,,
46,46,0,124,7900,0,0,0,1,0.0,False,0.0,1,131 93 81,,
47,47,32683,124,7876,0,1,0,0,26000.0,False,3.0,1,10 94 92,,
48,48,62000,124,175,0,2,2,1,29000.0,False,2.0,1,9 10 92,,
49,49,83632,124,1278,0,3,1,0,26000.0,False,3.0,2,143 140 81 29,,
50,50,189483,124,2064,0,4,2,0,18000.0,False,1.0,3,157 92 29,,
51,51,189483,124,2063,0,4,3,0,18000.0,False,0.0,3,136 92 29,,
52,52,189483,124,2065,0,4,2,1,18000.0,False,2.0,3,136 162 92 29,,
53,53,258793,124,3364,0,5,2,0,33333.0,False,1.0,4,136 103 29,,
54,54,258793,124,3365,0,5,3,0,33333.0,False,2.0,4,136 103 29,,
55,55,258793,124,3363,0,5,0,0,33333.0,False,3.0,4,74 103 29,,
56,56,330528,124,2948,0,6,2,0,21000.0,False,0.0,4,136 67 92,,
57,57,330528,124,2947,0,6,1,1,21000.0,False,1.0,4,74 67 92,,
58,58,330528,124,2946,0,6,1,0,21000.0,False,3.0,4,136 67 92,,
59,59,382790,124,2595,0,7,0,1,21666.0,False,0.0,4,82 103 102,,
60,60,382790,124,2593,0,7,0,0,21666.0,False,3.0,4,136 103 102,,
61,61,382790,124,2594,0,7,3,0,21666.0,False,2.0,4,161 103 102,,
62,62,419266,124,4492,0,8,3,0,15000.0,False,2.0,5,80,,
63,63,445527,124,4120,0,9,2,0,32000.0,False,0.0,5,123,,
64,64,475421,124,4696,0,10,3,0,23000.0,False,0.0,5,133,,
65,65,492328,124,6116,0,11,3,1,27000.0,False,3.0,5,23,,
66,66,513206,124,6173,0,12,1,0,14000.0,False,2.0,5,151,,
67,67,523644,124,6370,0,13,3,0,17000.0,False,2.0,5,79,,
68,68,554504,124,6909,0,14,0,1,7000.0,False,0.0,6,91,,
69,69,554504,124,6910,0,14,1,0,7000.0,False,3.0,6,115,,
70,70,554504,124,6908,0,14,2,0,7000.0,False,0.0,6,1,,
71,71,554504,124,6911,0,14,2,0,7000.0,False,3.0,6,27,,
72,72,571323,124,7218,0,15,3,0,6500.0,False,2.0,7,50 18 21,,
73,73,571323,124,7216,0,15,0,0,6500.0,False,3.0,7,97 50 21,,
74,74,571323,124,7217,0,15,3,0,6500.0,False,2.0,7,50 118 21,,
75,75,571323,124,7219,0,15,1,0,6500.0,False,2.0,7,50 19 21,,
76,76,0,2746,5273,0,0,1,0,0.0,False,3.0,5,45,,
77,77,21592,2746,758,0,1,0,0,28000.0,False,3.0,2,62 155 119 38 81,,
78,78,49069,2746,5976,0,2,3,0,17000.0,False,2.0,5,152,,
79,79,72254,2746,236,0,3,3,1,24000.0,False,3.0,2,129 17 56 38 102,,
80,80,91945,2746,404,0,4,3,0,20000.0,False,0.0,2,138 41 38 102,,
81,81,111621,2746,382,0,5,0,1,16000.0,False,0.0,2,90 100 92 102,,
82,82,134341,2746,405,0,6,1,1,16000.0,False,1.0,2,17 56 38 92,,
83,83,234605,2746,873,0,7,3,1,19000.0,False,3.0,2,62 148 32 92 102,,
84,84,283894,2746,531,0,8,0,1,18000.0,True,0.0,2,143 71 38 29,,
85,85,328640,2746,775,0,9,3,0,18000.0,True,0.0,2,129 143 176 38 102,,
86,86,357471,2746,294,0,10,3,1,20000.0,True,3.0,2,155 119 38 81,,
87,87,384415,2746,714,0,11,3,1,13000.0,True,3.0,2,62 155 163 38 102,,
88,88,428637,2746,297,0,12,0,0,13000.0,True,3.0,2,129 143 30 81 92,,
89,89,653762,2746,6808,1,14,-1,-1,0.0,False,,2,,129.0,intention
90,90,674559,2746,297,0,15,3,1,16000.0,True,3.0,2,129 143 30 81 92,,
91,91,704065,2746,775,0,16,3,0,15000.0,True,0.0,2,129 143 176 38 102,,
92,92,735114,2746,1295,0,13,3,1,16000.0,True,3.0,2,143 114 92 102,,
93,93,761885,2746,10684,0,17,0,1,17000.0,True,0.0,2,62 137 142 92 29,,
94,94,800255,2746,1014,0,18,0,0,19000.0,True,1.0,2,137 88 38 102,,
95,95,835457,2746,484,0,19,0,1,20000.0,True,0.0,2,62 155 163 81 29,,
96,96,0,5382,5000,0,0,0,1,0.0,False,0.0,5,26,,
97,97,39828,5382,3944,0,1,1,0,24000.0,False,0.0,5,47,,
98,98,132189,5382,217,0,2,0,1,35000.0,False,0.0,2,143 71 29 102,,
99,99,153727,5382,5844,0,3,1,0,88000.0,False,0.0,5,91,,
100,100,169080,5382,5965,0,4,2,1,18000.0,False,2.0,5,60,,
101,101,178049,5382,4990,0,5,3,1,12000.0,False,3.0,5,173,,
102,102,274437,5382,5235,0,6,0,1,5000.0,False,0.0,5,14,,
103,103,348777,5382,6050,0,7,3,1,92000.0,False,3.0,5,173,,
104,104,367177,5382,5721,0,8,1,0,70000.0,False,0.0,5,8,,
105,105,451108,5382,5580,0,9,3,0,14000.0,False,1.0,5,8,,
106,106,522802,5382,6039,0,10,1,0,79000.0,False,3.0,5,173,,
107,107,4561202,5382,7934,0,11,3,1,66000.0,False,3.0,1,9 10 81,,
108,108,4898313,5382,7945,0,12,1,0,30000.0,True,3.0,1,131 40 162 38,,
109,109,5146109,5382,18,0,13,1,1,27000.0,True,1.0,1,61 110 92,,
110,110,5200935,5382,10626,0,14,2,1,26000.0,True,2.0,1,131 130 29,,
111,111,5279596,5382,64,0,15,0,1,22000.0,True,0.0,1,131 111 92,,
112,112,5355233,5382,185,0,16,0,1,34000.0,True,0.0,1,131 111 81,,
113,113,5412590,5382,7979,0,17,1,0,23000.0,True,0.0,1,51 131 162 38,,
114,114,5455459,5382,10612,0,18,0,1,22000.0,True,0.0,1,51 131 81,,
115,115,5493280,5382,130,0,19,3,1,22000.0,True,3.0,1,131 99 38,,
116,116,5533670,5382,118,0,20,0,0,26000.0,True,2.0,1,131 104 38,,
117,117,10183847,5382,16736,1,21,-1,-1,0.0,False,,1,,40.0,concept
118,118,11006422,5382,7945,0,22,1,0,25000.0,True,3.0,1,131 40 162 38,,
119,119,11850424,5382,7965,0,23,1,0,24000.0,True,0.0,1,131 130 162 38,,
120,120,28676447,5382,5563,0,24,2,1,23000.0,True,2.0,5,128,,
121,121,28809032,5382,6673,0,25,3,1,78000.0,True,3.0,5,43,,
122,122,28955934,5382,3859,0,26,0,0,36000.0,True,2.0,5,43,,
123,123,29099348,5382,9778,0,27,2,1,43000.0,True,2.0,5,33,,
124,124,29223272,5382,3644,0,28,1,1,38000.0,True,1.0,5,132,,
125,125,29390945,5382,4640,0,29,1,0,30000.0,True,0.0,5,79,,
126,126,29585737,5382,6155,0,30,2,0,64000.0,True,3.0,5,44,,
127,127,72773105,5382,9636,0,31,0,1,27000.0,True,0.0,5,1,,
128,128,72895592,5382,4030,0,32,3,1,38000.0,True,3.0,5,72,,
129,129,73308943,5382,6318,0,33,3,0,55000.0,True,0.0,5,124,,
130,130,74254062,5382,4470,0,34,1,0,61000.0,True,3.0,5,31,,
131,131,137866785,5382,7999,0,35,1,1,82000.0,True,1.0,5,73,,
132,132,201092777,5382,4418,0,36,3,1,33000.0,True,3.0,5,44,,
133,133,201352377,5382,4318,0,37,1,1,17000.0,True,1.0,5,14,,
134,134,201543657,5382,5861,0,38,2,1,50000.0,True,2.0,5,180,,
135,135,201798974,5382,9462,0,39,1,0,9000.0,True,0.0,5,72,,
136,136,201941209,5382,5687,0,40,3,1,57000.0,True,3.0,5,8,,
137,137,202771912,5382,6081,0,41,0,0,30000.0,True,3.0,5,1,,
138,138,245140169,5382,3978,0,42,2,1,15000.0,True,2.0,5,52,,
139,139,286712156,5382,8417,0,43,1,1,85000.0,True,1.0,5,73,,
140,140,286835213,5382,8219,0,44,2,1,20000.0,True,2.0,5,4,,
141,141,287157839,5382,5104,0,45,3,1,64000.0,True,3.0,5,8,,
142,142,287510427,5382,4411,0,46,1,1,81000.0,True,1.0,5,127,,
143,143,287747131,5382,8807,0,47,3,1,11000.0,True,3.0,5,55,,
144,144,288628373,5382,3878,0,48,1,1,21000.0,True,1.0,5,24,,
145,145,289426505,5382,5581,0,49,2,1,88000.0,True,2.0,5,54,,
146,146,289549177,5382,4849,0,50,3,1,53000.0,True,3.0,5,96,,
147,147,299355642,5382,270,0,51,3,1,43000.0,True,3.0,2,148 32 81 92,,
148,148,299468038,5382,877,0,52,0,1,17000.0,True,0.0,2,143 140 6 38 92,,
149,149,299561492,5382,565,0,53,0,1,35000.0,True,0.0,2,143 20 38 92,,
150,150,299684213,5382,10684,0,54,3,0,16000.0,True,0.0,2,62 137 142 92 29,,
151,151,299845795,5382,949,0,55,0,0,25000.0,True,3.0,2,143 71 81 92,,
152,152,300018495,5382,886,0,56,0,0,22000.0,True,3.0,2,137 142 92 29,,
153,153,300167937,5382,577,0,57,3,1,24000.0,True,3.0,2,143 114 38 92,,
154,154,300298603,5382,10685,0,58,0,1,18000.0,True,0.0,2,69 137 142 38 29,,
155,155,300418322,5382,1266,0,59,3,0,22000.0,True,1.0,2,155 119 81 92,,
156,156,300551342,5382,1366,0,60,0,1,17000.0,True,0.0,2,62 148 32 38 81,,
157,157,300657806,5382,1176,0,61,1,1,22000.0,True,1.0,2,143 176 162 38 92,,
158,158,300732336,5382,10688,0,62,0,1,17000.0,True,0.0,2,62 137 142 81 92,,
159,159,300850546,5382,329,0,63,0,0,19000.0,True,3.0,2,155 163 92 102,,
160,160,300994918,5382,1229,0,64,0,1,25000.0,True,0.0,2,90 100 38 102,,
